Vx,Vy,Vz
3.9e-06,3.04e-05,2.38e-05
5.4e-06,3.34e-05,2.38e-05
5.4e-06,3.34e-05,2.38e-05
3.1e-06,3.64e-05,2.46e-05
1.6e-06,3.42e-05,2.23e-05
8e-07,3.65e-05,2.54e-05
-3.7e-06,3.5e-05,2.23e-05
-5.2e-06,3.73e-05,2.3e-05
-2.9e-06,3.73e-05,2.53e-05
-4.4e-06,3.43e-05,2.23e-05
-3e-06,3.65e-05,2.31e-05
-2.9e-06,3.66e-05,2.61e-05
-7e-07,3.42e-05,2.15e-05
8e-07,3.49e-05,2.23e-05
3.1e-06,3.42e-05,2.38e-05
