Time [s],Channel 5
5.479782250,0
5.479803750,1
5.479826917,0
5.479848250,1
5.479872750,0
5.479894083,1
5.479918583,0
5.479939917,1
5.479964417,0
5.479985750,1
5.480010250,0
5.480031583,1
5.480056083,0
5.480077500,1
5.480103500,0
5.480123333,1
5.480147833,0
5.480169167,1
5.480193667,0
5.480215000,1
5.480239583,0
5.480260917,1
5.480286583,0
5.480306750,1
5.480331333,0
5.480352667,1
5.480377250,0
5.480398583,1
5.480423083,0
5.480444500,1
5.480470417,0
5.480490417,1
5.480514917,0
5.480536250,1
5.480560750,0
5.480582083,1
5.480606667,0
5.480628000,1
5.480652917,0
5.480675250,1
5.480698333,0
5.480719667,1
5.480744167,0
5.480765500,1
5.480790083,0
5.480811333,1
5.480835833,0
5.480857167,1
5.480881667,0
5.480903000,1
5.480927583,0
5.480948833,1
5.480974083,0
5.480994667,1
5.481019250,0
5.481040583,1
5.481065167,0
5.481086500,1
5.481111083,0
5.481132333,1
5.481157333,0
5.481178250,1
5.481202833,0
5.481224167,1
5.481248750,0
5.481270000,1
5.481296333,0
5.481315917,1
5.481341667,0
5.481362250,1
5.481386417,0
5.481407667,1
5.481432250,0
5.481453583,1
5.481478083,0
5.481499417,1
5.481524000,0
5.481546250,1
5.481569750,0
5.481591083,1
5.481618417,0
5.481636833,1
5.481661417,0
5.481682667,1
5.481707250,0
5.481728583,1
5.481753167,0
5.481774417,1
5.481802583,0
5.481820250,1
5.481844833,0
5.481866167,1
5.481890667,0
5.481912000,1
5.481936583,0
5.481957917,1
5.481982500,0
5.482003833,1
5.482028667,0
5.482049667,1
5.482074333,0
5.482095583,1
5.482120167,0
5.482141500,1
5.482167833,0
5.482187417,1
5.482212833,0
5.482233250,1
5.482257750,0
5.482279083,1
5.482303667,0
5.482324917,1
5.482349500,0
5.482370750,1
5.482395333,0
5.482417417,1
5.482441167,0
5.482462500,1
5.482487333,0
5.482508333,1
5.482532833,0
5.482554250,1
5.482578750,0
5.482600083,1
5.482624583,0
5.482646000,1
5.482670917,0
5.482691833,1
5.482716333,0
5.482737667,1
5.482762250,0
5.482783583,1
5.482808083,0
5.482829500,1
5.482854000,0
5.482875417,1
5.482899917,0
5.482921250,1
5.482948083,0
5.482967167,1
5.482991667,0
5.483013000,1
5.483037500,0
5.483058917,1
5.483083917,0
5.483104917,1
5.483129167,0
5.483152667,1
5.483176750,0
5.483196417,1
5.483220833,0
5.483242250,1
5.483266750,0
5.483288500,1
5.483312583,0
5.483334000,1
5.483358417,0
5.483379833,1
5.483404333,0
5.483425750,1
5.483450167,0
5.483471583,1
5.483496083,0
5.483517500,1
5.483542083,0
5.483563417,1
5.483587833,0
5.483609333,1
5.483633750,0
5.483655167,1
5.483679583,0
5.483701083,1
5.483725500,0
5.483746917,1
5.483771333,0
5.483792833,1
5.483818333,0
5.483838667,1
5.483863083,0
5.483884500,1
5.483908917,0
5.483930417,1
5.483955000,0
5.483976250,1
5.484001417,0
5.484022917,1
5.484047667,0
5.484067917,1
5.484092333,0
5.484113833,1
5.484138167,0
5.484159833,1
5.484184083,0
5.484205583,1
5.484229917,0
5.484251417,1
5.484275833,0
5.484297333,1
5.484321667,0
5.484343250,1
5.484367583,0
5.484389083,1
5.484413500,0
5.484435000,1
5.484459333,0
5.484480833,1
5.484505250,0
5.484526750,1
5.484551167,0
5.484572667,1
5.484597000,0
5.484618500,1
5.484643000,0
5.484664333,1
5.484688833,0
5.484710167,1
5.484734583,0
5.484756083,1
5.484780417,0
5.484801917,1
5.484826250,0
5.484847750,1
5.484872083,0
5.484893583,1
5.484918750,0
5.484939417,1
5.484963833,0
5.484985333,1
5.485009750,0
5.485031167,1
5.485055750,0
5.485077083,1
5.485101500,0
5.485123000,1
5.485149417,0
5.485168917,1
5.485193250,0
5.485214750,1
5.485239167,0
5.485260667,1
5.485286667,0
5.485306583,1
5.485331917,0
5.485354083,1
5.485376833,0
5.485398250,1
5.485422667,0
5.485444167,1
5.485468500,0
5.485490000,1
5.485514333,0
5.485535833,1
5.485560167,0
5.485581667,1
5.485606083,0
5.485627500,1
5.485651917,0
5.485673417,1
5.485697750,0
5.485719250,1
5.485743667,0
5.485765167,1
5.485789833,0
5.485811000,1
5.485835333,0
5.485856917,1
5.485881250,0
5.485902750,1
5.485927167,0
5.485948667,1
5.485975083,0
5.485994583,1
5.486019917,0
5.486040500,1
5.486064833,0
5.486086333,1
5.486110750,0
5.486132250,1
5.486157500,0
5.486180167,1
5.486202500,0
5.486224500,1
5.486248333,0
5.486269833,1
5.486294167,0
5.486315667,1
5.486340000,0
5.486362333,1
5.486385917,0
5.486407417,1
5.486431917,0
5.486453250,1
5.486477583,0
5.486499083,1
5.486523500,0
5.486545000,1
5.486569333,0
5.486590833,1
5.486615250,0
5.486636750,1
5.486662500,0
5.486682667,1
5.486707083,0
5.486728583,1
5.486753000,0
5.486774500,1
5.486798833,0
5.486820333,1
5.486846583,0
5.486866250,1
5.486890667,0
5.486912167,1
5.486936500,0
5.486958000,1
5.486982417,0
5.487003917,1
5.487028583,0
5.487051417,1
5.487074083,0
5.487095667,1
5.487120000,0
5.487141417,1
5.487165833,0
5.487187333,1
5.487211667,0
5.487233167,1
5.487257583,0
5.487279083,1
5.487303417,0
5.487324917,1
5.487351333,0
5.487370833,1
5.487395167,0
5.487416750,1
5.487441083,0
5.487462583,1
5.487487000,0
5.487508500,1
5.487532917,0
5.487556000,1
5.487578750,0
5.487600333,1
5.487624667,0
5.487646167,1
5.487670583,0
5.487692083,1
5.487717833,0
5.487738000,1
5.487762333,0
5.487783833,1
5.487808250,0
5.487829667,1
5.487854083,0
5.487875583,1
5.487899917,0
5.487922667,1
5.487945833,0
5.487967250,1
5.487993500,0
5.488013167,1
5.488037500,0
5.488059000,1
5.488083417,0
5.488104917,1
5.488129333,0
5.488150750,1
5.488175167,0
5.488196667,1
5.488222000,0
5.488242583,1
5.488267000,0
5.488288500,1
5.488312917,0
5.488334333,1
5.488359750,0
5.488380250,1
5.488404667,0
5.488426750,1
5.488450583,0
5.488472083,1
5.488496500,0
5.488518000,1
5.488542417,0
5.488564500,1
5.488589000,0
5.488609667,1
5.488634083,0
5.488655583,1
5.488680000,0
5.488701417,1
5.488725833,0
5.488747333,1
5.488771667,0
5.488793833,1
5.488817583,0
5.488839000,1
5.488864833,0
5.488884917,1
5.488909333,0
5.488930750,1
5.488955250,0
5.488976667,1
5.489001083,0
5.489022583,1
5.489047000,0
5.489068500,1
5.489093083,0
5.489114417,1
5.489138833,0
5.489160333,1
5.489184750,0
5.489206250,1
5.489230667,0
5.489252083,1
5.489276583,0
5.489298000,1
5.489326083,0
5.489343917,1
5.489368333,0
5.489389750,1
5.489414167,0
5.489435583,1
5.489460083,0
5.489481500,1
5.489505917,0
5.489527333,1
5.489551833,0
5.489573250,1
5.489597667,0
5.489619167,1
5.489643583,0
5.489665000,1
5.489691000,0
5.489710917,1
5.489735333,0
5.489758583,1
5.489781250,0
5.489802750,1
5.489827167,0
5.489848583,1
5.489873083,0
5.489895750,1
5.489919000,0
5.489940500,1
5.489964917,0
5.489986333,1
5.490010833,0
5.490032250,1
5.490056750,0
5.490078167,1
5.490102583,0
5.490124083,1
5.490148500,0
5.490169917,1
5.490194417,0
5.490215833,1
5.490240250,0
5.490261667,1
5.490286167,0
5.490307583,1
5.490332167,0
5.490353417,1
5.490377917,0
5.490399333,1
5.490424750,0
5.490445167,1
5.490469667,0
5.490491083,1
5.490515583,0
5.490537000,1
5.490561500,0
5.490582917,1
5.490607500,0
5.490629500,1
5.490655083,0
5.490674750,1
5.490699167,0
5.490720667,1
5.490745083,0
5.490766583,1
5.490791000,0
5.490812417,1
5.490836917,0
5.490858417,1
5.490882833,0
5.490904250,1
5.490928750,0
5.490950167,1
5.490974583,0
5.490997167,1
5.491022417,0
5.491041917,1
5.491066333,0
5.491087750,1
5.491112250,0
5.491133750,1
5.491158167,0
5.491179583,1
5.491204083,0
5.491225500,1
5.491249917,0
5.491271417,1
5.491296000,0
5.491317333,1
5.491341750,0
5.491363250,1
5.491387667,0
5.491409083,1
5.491433583,0
5.491455083,1
5.491479667,0
5.491501000,1
5.491525500,0
5.491546917,1
5.491571333,0
5.491592833,1
5.491617333,0
5.491638750,1
